[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-21, 星期五, 9288, 1976, null, 11101, 0.163319, 阴, 1843, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-19, 星期四, 1366, 66, null, 2817, 0.515087, 小雪, 222, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-18, 星期三, 2488, 52, null, 2130, -0.168075, 小雨, 211, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-17, 星期二, 2155, 113, null, 2980, 0.276846, 阴, 390, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-16, 星期一, 3118, 152, null, 3127, 0.002878, 多云, 247, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-15, 星期日, 4074, 255, null, 4223, 0.035283, 多云, 500, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-14, 星期六, 6395, 264, null, 5739, -0.114306, 多云, 682, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-13, 星期五, 3331, 90, null, 2597, -0.282634, 多云, 249, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-12, 星期四, 1864, 32, null, 1886, 0.011665, 小雨, 206, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-11, 星期三, 1986, 39, null, 1230, -0.614634, 雨夹雪, 107, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-10, 星期二, 1458, 60, null, 1498, 0.026702, 阴, 123, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-09, 星期一, 2327, 131, null, 2198, -0.058690, 多云, 275, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-08, 星期日, 3178, 144, null, 2629, -0.208825, 阴, 239, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-07, 星期六, 3226, 115, null, 2253, -0.431869, 中雨, 122, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-06, 星期五, 1603, 23, null, 895, -0.791061, 小雨, 144, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-05, 星期四, 2657, 153, null, 1147, -1.316478, 中雨, 145, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-04, 星期三, 2769, 203, null, 1490, -0.858389, 小雨, 364, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-03, 星期二, 1700, 195, null, 1616, -0.051980, 晴间多云, null, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-02, 星期一, 3775, 382, null, 3621, -0.042530, 阴, null, SVM模型, null, 1, 元旦, 3]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-01, 星期日, 12000, 1915, null, 13346, 0.100854, 晴, null, SVM模型, null, 1, 元旦, 2]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-31, 星期六, 4002, 612, null, 8575, 0.533294, 晴, null, SVM模型, null, 1, 元旦, 1]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-30, 星期五, 3620, 145, null, 3708, 0.023732, 多云, null, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-29, 星期四, 2650, 143, null, 3039, 0.128003, 多云, null, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-28, 星期三, 2351, 170, null, 2620, 0.102672, 多云, 83, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-27, 星期二, 2126, 35, null, 1928, -0.102697, 多云, 1465, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-26, 星期一, 1650, 15, null, 1701, 0.029982, 小雨, 1466, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-25, 星期日, 2468, 260, null, 2675, 0.077383, 小雨, 107, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-24, 星期六, 8111, 318, null, 5778, -0.403773, 多云, 13, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-23, 星期五, 2858, 140, null, 2596, -0.100924, 多云, 5, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-22, 星期四, 2510, 53, null, 2196, -0.142987, 多云, 1469, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-21, 星期三, 1469, 86, null, 1108, -0.325812, 中雨, 1469, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-20, 星期二, 6355, 537, null, 6646, 0.043786, 小雨, 1470, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-19, 星期一, 6139, 4569, null, 16852, 0.635711, 雷阵雨, 24, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-18, 星期日, 5097, 6550, null, 34414, 0.851892, 多云, 15, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-17, 星期六, 9115, 3468, null, 35087, 0.740217, 多云, 42, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-16, 星期五, 4453, 791, null, 11718, 0.619986, 晴, 10, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-15, 星期四, 3214, 161, null, 8988, 0.642412, 晴, 1473, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2016-12-14, 星期三, 3456, 466, null, 6042, 0.428004, 多云, 38, SVM模型, null, 0, null, null]
